#LIBRARY    ENDF/B-VIII.1
#REACTION   GD-155(N,G)GD-156,SIG
#NUCLEUS    Gd-155
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 2.32145262e+00 584.017517 Lin-Lin
 2.32973051e+00 617.412537 Lin-Lin
 2.33800840e+00 654.797974 Lin-Lin
 2.34587216e+00 694.495911 Lin-Lin
 2.35373616e+00 738.820801 Lin-Lin
 2.36159992e+00 788.417847 Lin-Lin
 2.36946392e+00 844.054260 Lin-Lin
 2.37567234e+00 892.839050 Lin-Lin
 2.38188052e+00 946.482544 Lin-Lin
 2.38808894e+00 1005.593811 Lin-Lin
 2.39429736e+00 1070.876587 Lin-Lin
 2.40050578e+00 1143.145264 Lin-Lin
 2.40605974e+00 1214.486084 Lin-Lin
 2.41128683e+00 1288.111084 Lin-Lin
 2.41651368e+00 1368.770508 Lin-Lin
 2.42174077e+00 1457.288330 Lin-Lin
 2.42696762e+00 1554.589844 Lin-Lin
 2.43045235e+00 1624.843018 Lin-Lin
 2.43608952e+00 1748.588257 Lin-Lin
 2.44031739e+00 1850.385498 Lin-Lin
 2.44454527e+00 1960.665039 Lin-Lin
 2.44877315e+00 2080.174561 Lin-Lin
 2.45300102e+00 2209.697266 Lin-Lin
 2.45807457e+00 2379.479980 Lin-Lin
 2.46314812e+00 2566.252930 Lin-Lin
 2.46822166e+00 2771.385010 Lin-Lin
 2.47329497e+00 2996.128174 Lin-Lin
 2.47836852e+00 3241.520996 Lin-Lin
 2.48344207e+00 3508.265869 Lin-Lin
 2.48851538e+00 3796.588623 Lin-Lin
 2.49358892e+00 4106.082520 Lin-Lin
 2.49842811e+00 4419.917480 Lin-Lin
 2.50568700e+00 4920.456055 Lin-Lin
 2.51616335e+00 5685.718750 Lin-Lin
 2.52581620e+00 6397.299316 Lin-Lin
 2.53225136e+00 6849.023438 Lin-Lin
 2.53868651e+00 7262.004395 Lin-Lin
 2.54432511e+00 7577.608398 Lin-Lin
 2.54996395e+00 7837.768555 Lin-Lin
 2.55419278e+00 7990.298340 Lin-Lin
 2.55842185e+00 8102.362793 Lin-Lin
 2.56280017e+00 8172.951660 Lin-Lin
 2.56747675e+00 8195.323242 Lin-Lin
 2.57158637e+00 8169.241211 Lin-Lin
 2.57633090e+00 8086.734863 Lin-Lin
 2.58107519e+00 7950.493652 Lin-Lin
 2.58632088e+00 7742.169434 Lin-Lin
 2.59181714e+00 7466.585938 Lin-Lin
 2.59731340e+00 7142.205566 Lin-Lin
 2.60464191e+00 6652.881836 Lin-Lin
 2.61478877e+00 5913.965820 Lin-Lin
 2.62606311e+00 5079.640625 Lin-Lin
 2.63451886e+00 4484.077148 Lin-Lin
 2.64015627e+00 4112.197754 Lin-Lin
 2.64579344e+00 3764.445801 Lin-Lin
 2.65143061e+00 3442.597900 Lin-Lin
 2.65565848e+00 3218.599609 Lin-Lin
 2.65988636e+00 3009.410156 Lin-Lin
 2.66411424e+00 2814.686279 Lin-Lin
 2.66834211e+00 2633.907227 Lin-Lin
 2.67256999e+00 2466.424316 Lin-Lin
 2.67679787e+00 2311.504639 Lin-Lin
 2.68102574e+00 2168.365479 Lin-Lin
 2.68525386e+00 2036.204712 Lin-Lin
 2.68948174e+00 1914.222168 Lin-Lin
 2.69370961e+00 1801.637329 Lin-Lin
 2.69793749e+00 1697.700806 Lin-Lin
 2.70216537e+00 1601.703125 Lin-Lin
 2.70723891e+00 1496.051758 Lin-Lin
 2.71231222e+00 1399.816284 Lin-Lin
 2.71738577e+00 1312.034302 Lin-Lin
 2.72245932e+00 1231.838379 Lin-Lin
 2.72753286e+00 1158.450562 Lin-Lin
 2.73403692e+00 1073.223145 Lin-Lin
 2.73885012e+00 1015.866760 Lin-Lin
 2.74366307e+00 962.853638 Lin-Lin
 2.75088263e+00 890.598389 Lin-Lin
 2.75810218e+00 826.011475 Lin-Lin
 2.76532173e+00 768.080139 Lin-Lin
 2.77260923e+00 715.480652 Lin-Lin
 2.77993083e+00 667.828125 Lin-Lin
 2.78725219e+00 624.733948 Lin-Lin
 2.79457355e+00 585.645691 Lin-Lin
 2.80189514e+00 550.090332 Lin-Lin
 2.80677605e+00 528.146179 Lin-Lin
 2.81564164e+00 491.499115 Lin-Lin
 2.82450700e+00 458.529144 Lin-Lin
 2.83337259e+00 428.765900 Lin-Lin
 2.84223819e+00 401.810913 Lin-Lin
 2.85119009e+00 377.097595 Lin-Lin
 2.86014199e+00 354.603729 Lin-Lin
 2.86909413e+00 334.073669 Lin-Lin
 2.87804604e+00 315.287323 Lin-Lin
 2.88988423e+00 292.801666 Lin-Lin
 2.90172219e+00 272.660889 Lin-Lin
 2.90961432e+00 260.379852 Lin-Lin
 2.91987658e+00 245.629288 Lin-Lin
 2.93013906e+00 232.115509 Lin-Lin
 2.94040132e+00 219.704895 Lin-Lin
 2.95066381e+00 208.281433 Lin-Lin
 2.96107078e+00 197.601334 Lin-Lin
 2.97147799e+00 187.740494 Lin-Lin
 2.98708868e+00 174.311752 Lin-Lin
 3.00284624e+00 162.208115 Lin-Lin
 3.01867723e+00 151.316910 Lin-Lin
 3.03450823e+00 141.529114 Lin-Lin
 3.05056238e+00 132.584656 Lin-Lin
 3.06661677e+00 124.505028 Lin-Lin
 3.08274651e+00 117.153488 Lin-Lin
 3.09902740e+00 110.421227 Lin-Lin
 3.11530805e+00 104.301720 Lin-Lin
 3.13174200e+00 98.676872 Lin-Lin
 3.14825249e+00 93.524315 Lin-Lin
 3.16476297e+00 88.820007 Lin-Lin
 3.18150640e+00 84.462212 Lin-Lin
 3.19824982e+00 80.481171 Lin-Lin
 3.21937799e+00 75.943604 Lin-Lin
 3.23931003e+00 72.114037 Lin-Lin
 3.26073623e+00 68.443169 Lin-Lin
 3.28365707e+00 64.990105 Lin-Lin
 3.30576444e+00 62.098484 Lin-Lin
 3.32705879e+00 59.711037 Lin-Lin
 3.34947801e+00 57.626453 Lin-Lin
 3.36713648e+00 56.313335 Lin-Lin
 3.38479495e+00 55.320751 Lin-Lin
 3.40029764e+00 54.750118 Lin-Lin
 3.41580057e+00 54.509682 Lin-Lin
 3.42613578e+00 54.565208 Lin-Lin
 3.43822002e+00 54.889565 Lin-Lin
 3.45030403e+00 55.545380 Lin-Lin
 3.46238828e+00 56.601315 Lin-Lin
 3.47145128e+00 57.706326 Lin-Lin
 3.48013425e+00 59.059101 Lin-Lin
 3.48862720e+00 60.699566 Lin-Lin
 3.49711990e+00 62.692471 Lin-Lin
 3.50561261e+00 65.073921 Lin-Lin
 3.51410556e+00 67.872879 Lin-Lin
 3.52287102e+00 71.215378 Lin-Lin
 3.53218174e+00 75.260803 Lin-Lin
 3.54149270e+00 79.762527 Lin-Lin
 3.55701065e+00 87.944916 Lin-Lin
 3.57398820e+00 96.853928 Lin-Lin
 3.58311486e+00 101.033318 Lin-Lin
 3.58995986e+00 103.648170 Lin-Lin
 3.59680462e+00 105.683304 Lin-Lin
 3.60364962e+00 107.036728 Lin-Lin
 3.61031532e+00 107.627304 Lin-Lin
 3.61250758e+00 107.656860 Lin-Lin
 3.61946654e+00 107.200409 Lin-Lin
 3.62666965e+00 105.856750 Lin-Lin
 3.63302207e+00 103.974945 Lin-Lin
 3.63937426e+00 101.501884 Lin-Lin
 3.64572644e+00 98.517166 Lin-Lin
 3.65207887e+00 95.114288 Lin-Lin
 3.66086507e+00 89.906670 Lin-Lin
 3.68817449e+00 72.626480 Lin-Lin
 3.69792771e+00 66.867981 Lin-Lin
 3.70573044e+00 62.605701 Lin-Lin
 3.71353292e+00 58.689175 Lin-Lin
 3.72133565e+00 55.129860 Lin-Lin
 3.72913837e+00 51.921638 Lin-Lin
 3.73759103e+00 48.820961 Lin-Lin
 3.74409342e+00 46.681274 Lin-Lin
 3.75059557e+00 44.736496 Lin-Lin
 3.76034880e+00 42.146690 Lin-Lin
 3.77010202e+00 39.899174 Lin-Lin
 3.77985549e+00 37.941757 Lin-Lin
 3.78635764e+00 36.775127 Lin-Lin
 3.79806161e+00 34.911530 Lin-Lin
 3.80976558e+00 33.302883 Lin-Lin
 3.82146955e+00 31.902084 Lin-Lin
 3.83317351e+00 30.671738 Lin-Lin
 3.84617782e+00 29.468761 Lin-Lin
 3.85918236e+00 28.407822 Lin-Lin
 3.87868881e+00 27.029791 Lin-Lin
 3.89819551e+00 25.853809 Lin-Lin
 3.91770220e+00 24.835375 Lin-Lin
 3.93720865e+00 23.942299 Lin-Lin
 3.96321750e+00 22.906429 Lin-Lin
 3.98922634e+00 22.011192 Lin-Lin
 4.01736689e+00 21.167767 Lin-Lin
 4.04550695e+00 20.428926 Lin-Lin
 4.08831310e+00 19.464828 Lin-Lin
 4.13152170e+00 18.647768 Lin-Lin
 4.17513609e+00 17.950031 Lin-Lin
 4.21915865e+00 17.352261 Lin-Lin
 4.26380205e+00 16.838440 Lin-Lin
 4.30886555e+00 16.401421 Lin-Lin
 4.36965609e+00 15.925703 Lin-Lin
 4.43130398e+00 15.561993 Lin-Lin
 4.49382162e+00 15.301107 Lin-Lin
 4.55722141e+00 15.139896 Lin-Lin
 4.61269760e+00 15.080709 Lin-Lin
 4.63625193e+00 15.078498 Lin-Lin
 4.70166111e+00 15.144437 Lin-Lin
 4.76799345e+00 15.321000 Lin-Lin
 4.81844425e+00 15.532891 Lin-Lin
 4.86936951e+00 15.819330 Lin-Lin
 4.92077255e+00 16.188183 Lin-Lin
 4.97265720e+00 16.649683 Lin-Lin
 5.02527332e+00 17.219667 Lin-Lin
 5.07838488e+00 17.911650 Lin-Lin
 5.13199472e+00 18.746351 Lin-Lin
 5.16806889e+00 19.396162 Lin-Lin
 5.20439768e+00 20.131531 Lin-Lin
 5.24098110e+00 20.964153 Lin-Lin
 5.27782249e+00 21.909346 Lin-Lin
 5.31492186e+00 22.985401 Lin-Lin
 5.35228300e+00 24.213694 Lin-Lin
 5.38990593e+00 25.620388 Lin-Lin
 5.41825581e+00 26.809649 Lin-Lin
 5.44687080e+00 28.138205 Lin-Lin
 5.47548628e+00 29.612810 Lin-Lin
 5.50437069e+00 31.271372 Lin-Lin
 5.53338957e+00 33.136536 Lin-Lin
 5.56240845e+00 35.232639 Lin-Lin
 5.59183645e+00 37.632954 Lin-Lin
