#LIBRARY    ENDF/B-VIII.1
#REACTION   GD-155(N,TOT),SIG
#NUCLEUS    Gd-155
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1.24948226e-01 6456.467285 Lin-Lin
 1.26302540e-01 6284.458496 Lin-Lin
 1.27604842e-01 6133.222656 Lin-Lin
 1.29573435e-01 5904.612793 Lin-Lin
 1.29891485e-01 5867.687012 Lin-Lin
 1.30311564e-01 5823.138184 Lin-Lin
 1.33082226e-01 5529.318359 Lin-Lin
 1.33582398e-01 5476.275879 Lin-Lin
 1.36081889e-01 5234.402832 Lin-Lin
 1.37378201e-01 5108.991211 Lin-Lin
 1.37822509e-01 5069.803711 Lin-Lin
 1.41281873e-01 4764.685547 Lin-Lin
 1.42924279e-01 4632.726562 Lin-Lin
 1.45296454e-01 4442.187500 Lin-Lin
 1.45766363e-01 4407.832031 Lin-Lin
 1.49425119e-01 4140.338867 Lin-Lin
 1.50103360e-01 4095.236816 Lin-Lin
 1.50965855e-01 4037.899170 Lin-Lin
 1.53671101e-01 3858.056885 Lin-Lin
 1.54168099e-01 3828.025635 Lin-Lin
 1.57445982e-01 3629.954590 Lin-Lin
 1.57650769e-01 3617.580322 Lin-Lin
 1.58037737e-01 3594.204346 Lin-Lin
 1.60785690e-01 3443.408936 Lin-Lin
 1.62528440e-01 3347.773926 Lin-Lin
 1.64204285e-01 3264.276367 Lin-Lin
 1.65569544e-01 3196.252930 Lin-Lin
 1.67146757e-01 3117.694824 Lin-Lin
 1.67687342e-01 3093.261230 Lin-Lin
 1.71896309e-01 2903.017090 Lin-Lin
 1.73668742e-01 2830.351562 Lin-Lin
 1.73894629e-01 2821.090820 Lin-Lin
 1.76780820e-01 2702.805420 Lin-Lin
 1.81804121e-01 2516.159668 Lin-Lin
 1.82629332e-01 2488.372070 Lin-Lin
 1.86270088e-01 2365.821045 Lin-Lin
 1.86970174e-01 2342.255859 Lin-Lin
 1.91563040e-01 2202.201172 Lin-Lin
 1.91812187e-01 2194.603271 Lin-Lin
 1.92283005e-01 2180.251709 Lin-Lin
 1.95626423e-01 2087.965820 Lin-Lin
 1.97746813e-01 2029.437988 Lin-Lin
 1.99785799e-01 1978.494995 Lin-Lin
 2.01446906e-01 1936.992920 Lin-Lin
 2.02604413e-01 1908.084961 Lin-Lin
 2.03365877e-01 1889.067749 Lin-Lin
 2.06901997e-01 1809.144043 Lin-Lin
 2.09144607e-01 1758.456299 Lin-Lin
 2.11301103e-01 1714.336426 Lin-Lin
 2.11575940e-01 1708.713745 Lin-Lin
 2.15087548e-01 1636.901245 Lin-Lin
 2.20371112e-01 1539.092773 Lin-Lin
